family,kind,queue_status,covered_queue_rows,isabelle_files,current_level,typed_carrier_exists,explicit_assumptions,isabelle_checked,wolfram_certificate,paper_priority,completion_state,next_upgrade,definition_count,theorem_or_lemma_count,assumes_count,type_or_const_count,forbidden_shortcut_hits,missing_files
Hyperspherical Bessel residual bridge,paper_core,phase2_already_started,6,TZPID_HypersphericalBesselResidualBridge_Math_Checks.thy; TZPID_HypersphericalBesselResidualBridge_Computational_Checks.thy; TZPID_HypersphericalBesselResidualBridge_Phase2_Model.thy; TZPID_Temporal_Kernel_HOL_Analysis.thy; TZPID_Bessel_External_Certificates.thy; TZPID_Phase3_Observable_Contract.thy,hol_analysis_integral_bessel_policy_delta_alpha_phase3_contract,yes,yes,clean_build,yes,critical,phase2_5_phase3_observable_contract_locked,Next lift the nested hyperspherical enclosure spine from abstract S3/projection predicates into typed projection-map semantics.,57,66,26,5,0,
Nested hyperspherical enclosure,gold_spine,,n/a,TZPID_NestedHypersphere_Focus.thy; TZPID_NestedHypersphere_Computational_Checks.thy; TZPID_NestedHypersphere_Typed_Projection.thy; TZPID_NestedHypersphere_S3_Spectrum.thy,focus_certificate_plus_typed_projection_map_plus_s3_spectrum,yes,locale_level,clean_build,yes,critical,s3_spectrum_locked,Next enrich the projection carrier from finite-coordinate algebra into topology/continuity and explicit Hopf fibration semantics.,27,43,20,35,22,
Hubble breathing enclosure,spine_bridge,,n/a,TZPID_HubbleBreathing_Enclosure.thy; TZPID_HubbleBreathing_ClosedDistance.thy; TZPID_HubbleBreathing_FriedmannComponents.thy; TZPID_HubbleBreathing_CPL_Certificate.thy; TZPID_NestedHypersphere_S3_Spectrum.thy; TZPID_Einstein_Focus.thy,hubble_breathing_closed_distance_plus_friedmann_cpl_scaffold,yes,yes,clean_build,python_certificate,critical,hubble_breathing_cpl_scaffold_locked,"Next replace parameter-style CMB/BAO/SN anchors with observed data tables and fit residual minimization over H0, Omega_m, Omega_K, w0, and wa.",49,74,34,20,5,
Gyromagnetic movement,movement_spine,batch016_started,7,TZPID_GyromagneticMovement_Focus.thy; TZPID_GyromagneticMovement_Computational_Checks.thy; TZPID_Theorem_Semantic_Batch016_Orbital_Gyromagnetic_Followup.thy; TZPID_GyromagneticMovement_Typed_PhaseGradient.thy; TZPID_GyromagneticMovement_VectorCalculus.thy; TZPID_GyromagneticMovement_MHD_Helicity.thy; TZPID_GyromagneticMovement_SpatialBoundary.thy; TZPID_GyromagneticMovement_CirculationDiagnostic.thy; TZPID_GyromagneticMovement_CorrectedWinding.thy,focus_certificate_plus_phase4_phase5_phase5_5_spatial_boundary_plus_phase6_corrected_winding,yes,yes,clean_build,yes,critical,phase6_corrected_winding_locked,Next lift corrected winding from scalar loop certificates into a general loop-index theorem for wrapped phase fields and vortex-core enclosure.,72,76,28,15,19,
Phase locking resonance,movement_spine,batch018_started,5,TZPID_PhaseLockingResonance_Focus.thy; TZPID_PhaseLockingResonance_Computational_Checks.thy; TZPID_Theorem_Semantic_Batch018_Resonance_Locking_Followup.thy; TZPID_PhaseLockingResonance_Typed_RatioSelection.thy,focus_certificate_plus_typed_ratio_selection,yes,yes,clean_build,yes,high,typed_ratio_selection_locked,Next lift typed ratio selection into coupled-oscillator stability and capture-basin semantics.,25,35,12,20,15,
Fifth flip crystal scale-invariance,spine_bridge,,n/a,TZPID_FifthFlip_CrystalScaleInvariance.thy; TZPID_PhaseLockingResonance_Typed_RatioSelection.thy; TZPID_NestedHypersphere_S3_Spectrum.thy,golden_reciprocal_fixed_point_plus_crystal_trace_hinge,yes,yes,clean_build,certificate_only,high,fifth_flip_bridge_locked,Next add an external trig/crystallographic certificate tying 2*cos(72 degrees) to the golden trace and then connect quasicrystal phi-inflation to the ripple scale-invariance lane.,21,37,28,0,0,
Magnetic/torsion,domain_model,batch011_started,21,TZPID_Magnetic_Torsion_Model.thy; TZPID_Theorem_Semantic_Batch011_Magnetic_Torsion.thy,typed_residual_guard,yes,yes,clean_build,not_attached,high,phase2_strengthen,Replace scalar helicity/torsion guards with vector-calculus and MHD-style integral semantics.,16,29,11,0,0,
Emergence/bifurcation,domain_model,batch015_started,7,TZPID_Theorem_Semantic_Batch015_Emergence_Bifurcation_Followup.thy,typed_residual_guard,yes,yes,clean_build,not_attached,high,phase2_strengthen,"Formalize bifurcation normal forms, infinite-order transition behavior, and asymptotic emergence thresholds.",8,9,3,0,0,
Quantum/matter,domain_model,batch017_started,7,TZPID_Quantum_Open_System_Model.thy; TZPID_Theorem_Semantic_Batch017_Quantum_Matter_Followup.thy,typed_residual_guard,yes,yes,clean_build,not_attached,high,phase2_strengthen,"Replace scalar quantum guards with density-operator, probability, Bell-bound, and conservation-law semantics.",30,32,7,3,0,
Master theorem batch 001,batch,batch001_started,50,TZPID_Theorem_Semantic_Batch001.thy,typed_residual_guard,yes,yes,clean_build,not_attached,high,started_not_complete,Promote from residual/guard semantics into domain-specific HOL-Analysis structures where this batch is paper-facing.,19,22,14,2,0,
Master theorem batch 002,batch,batch002_started,60,TZPID_Theorem_Semantic_Batch002.thy,typed_residual_guard,yes,yes,clean_build,not_attached,high,started_not_complete,Promote from residual/guard semantics into domain-specific HOL-Analysis structures where this batch is paper-facing.,21,21,7,0,0,
Master theorem batch 003,batch,batch003_started,51,TZPID_Theorem_Semantic_Batch003.thy,typed_residual_guard,yes,yes,clean_build,not_attached,medium,started_not_complete,Promote from residual/guard semantics into domain-specific HOL-Analysis structures where this batch is paper-facing.,25,28,12,6,0,
Master theorem batch 004,batch,batch004_started,7,TZPID_Theorem_Semantic_Batch004.thy,typed_residual_guard,yes,yes,clean_build,not_attached,medium,started_not_complete,Promote from residual/guard semantics into domain-specific HOL-Analysis structures where this batch is paper-facing.,10,11,8,0,0,
Topology/vector batch 005,batch,batch005_started,38,TZPID_Topology_Vector_Model.thy; TZPID_Theorem_Semantic_Batch005_Topology_Vector.thy,typed_scaffold,yes,yes,clean_build,not_attached,high,started_not_complete,Promote from residual/guard semantics into domain-specific HOL-Analysis structures where this batch is paper-facing.,24,31,9,8,0,
Operator/spectral batch 006,batch,batch006_started,30,TZPID_Operator_Spectral_Model.thy; TZPID_Theorem_Semantic_Batch006_Operator_Spectral.thy,typed_scaffold,yes,yes,clean_build,not_attached,high,started_not_complete,Promote from residual/guard semantics into domain-specific HOL-Analysis structures where this batch is paper-facing.,22,38,21,2,0,
Quantum/open-system batch 007,batch,batch007_started,23,TZPID_Quantum_Open_System_Model.thy; TZPID_Theorem_Semantic_Batch007_Quantum_Open_Systems.thy,typed_scaffold,yes,yes,clean_build,not_attached,high,started_not_complete,Promote from residual/guard semantics into domain-specific HOL-Analysis structures where this batch is paper-facing.,23,47,7,3,0,
Geometry/manifold batch 008,batch,batch008_started,17,TZPID_Geometry_Manifold_Model.thy; TZPID_Theorem_Semantic_Batch008_Geometry_Manifold.thy,typed_scaffold,yes,yes,clean_build,not_attached,high,started_not_complete,Promote from residual/guard semantics into domain-specific HOL-Analysis structures where this batch is paper-facing.,17,35,5,2,0,
Dynamics/scaling batch 009,batch,batch009_started,13,TZPID_Dynamics_Scaling_Model.thy; TZPID_Theorem_Semantic_Batch009_Dynamics_Scaling.thy,typed_scaffold,yes,yes,clean_build,not_attached,medium,started_not_complete,Promote from residual/guard semantics into domain-specific HOL-Analysis structures where this batch is paper-facing.,14,28,7,0,0,
Meta-foundation batch 010,batch,batch010_started,13,TZPID_Meta_Foundation_Model.thy; TZPID_Theorem_Semantic_Batch010_Meta_Foundation.thy,typed_scaffold,yes,yes,clean_build,not_attached,medium,started_not_complete,Promote from residual/guard semantics into domain-specific HOL-Analysis structures where this batch is paper-facing.,17,31,16,0,0,
Magnetic/torsion batch 011,batch,batch011_started,21,TZPID_Magnetic_Torsion_Model.thy; TZPID_Theorem_Semantic_Batch011_Magnetic_Torsion.thy,typed_scaffold,yes,yes,clean_build,not_attached,high,started_not_complete,Promote from residual/guard semantics into domain-specific HOL-Analysis structures where this batch is paper-facing.,16,29,11,0,0,
Operator/spectral follow-up batch 012,batch,batch012_started,15,TZPID_Theorem_Semantic_Batch012_Operator_Spectral_Followup.thy,typed_residual_guard,yes,yes,clean_build,not_attached,high,started_not_complete,Promote from residual/guard semantics into domain-specific HOL-Analysis structures where this batch is paper-facing.,9,14,10,0,0,
Topology/category follow-up batch 013,batch,batch013_started,15,TZPID_Theorem_Semantic_Batch013_Topology_Category_Followup.thy,typed_residual_guard,yes,yes,clean_build,not_attached,medium,started_not_complete,Promote from residual/guard semantics into domain-specific HOL-Analysis structures where this batch is paper-facing.,15,16,2,2,0,
Dynamics/stability follow-up batch 014,batch,batch014_started,11,TZPID_Theorem_Semantic_Batch014_Dynamics_Stability_Followup.thy,typed_residual_guard,yes,yes,clean_build,not_attached,medium,started_not_complete,Promote from residual/guard semantics into domain-specific HOL-Analysis structures where this batch is paper-facing.,12,14,8,0,0,
Emergence/bifurcation follow-up batch 015,batch,batch015_started,7,TZPID_Theorem_Semantic_Batch015_Emergence_Bifurcation_Followup.thy,typed_residual_guard,yes,yes,clean_build,not_attached,high,started_not_complete,Promote from residual/guard semantics into domain-specific HOL-Analysis structures where this batch is paper-facing.,8,9,3,0,0,
Orbital/gyromagnetic follow-up batch 016,batch,batch016_started,7,TZPID_Theorem_Semantic_Batch016_Orbital_Gyromagnetic_Followup.thy,typed_residual_guard,yes,yes,clean_build,not_attached,high,started_not_complete,Promote from residual/guard semantics into domain-specific HOL-Analysis structures where this batch is paper-facing.,9,10,5,0,0,
Quantum/matter follow-up batch 017,batch,batch017_started,7,TZPID_Theorem_Semantic_Batch017_Quantum_Matter_Followup.thy,typed_residual_guard,yes,yes,clean_build,not_attached,high,started_not_complete,Promote from residual/guard semantics into domain-specific HOL-Analysis structures where this batch is paper-facing.,8,10,4,0,0,
Resonance-locking follow-up batch 018,batch,batch018_started,5,TZPID_Theorem_Semantic_Batch018_Resonance_Locking_Followup.thy,typed_residual_guard,yes,yes,clean_build,not_attached,high,started_not_complete,Promote from residual/guard semantics into domain-specific HOL-Analysis structures where this batch is paper-facing.,9,10,4,0,0,
Geometry/curvature closeout batch 019,batch,batch019_started,1,TZPID_Theorem_Semantic_Batch019_Geometry_Curvature_Closeout.thy,typed_residual_guard,yes,yes,clean_build,not_attached,medium,started_not_complete,Promote from residual/guard semantics into domain-specific HOL-Analysis structures where this batch is paper-facing.,5,5,2,0,0,
