status,reason,segment_count,parsed_segments,parse_errors,parsed_math,macro_boundary,first_error,ID,title,canonical_equation
Passed,,2,2.0,0,"Eq(gamma_{B*mathrm}, i*oint_{Gamma}) || Eq(gamma_{mathrm*(t*(o*t))}, gamma_{L*mathrm} + (gamma_{B*mathrm} + gamma_{mathrm*(dy*n)}))","Eq(gamma_{B*mathrm}, i*oint_{Gamma}) || Eq(gamma_{mathrm*(t*(o*t))}, gamma_{L*mathrm} + (gamma_{B*mathrm} + gamma_{mathrm*(dy*n)}))",,ID0068,Berry Phase and Geometric Phase Effects,\gamma_{\mathrm{B}} = i\oint_{\Gamma}\langle \psi \mid \nabla_{\lambda}\psi\rangle\cdot d\lambda || \gamma_{\mathrm{tot}} = \gamma_{\mathrm{dyn}} + \gamma_{\mathrm{B}} + \gamma_{\mathrm{L}}
Partial Parse,Some segments need cleanup,2,1.0,1,psi*(Gamma*in),psi*(Gamma*in),"\mathcal{N} = (V,E,j,\iota) -> LaTeXParsingError: I expected something else here
\mathcal{N} = (V,E,j,\iota)
~~~~~~~~~~~~~~~~^",ID0069,Spinor and Spin-Network Representations,"\psi \in \Gamma(S \to M) || \mathcal{N} = (V,E,j,\iota)"
Passed,,2,2.0,0,H*mathcal || dim*(H*mathcal),H*mathcal || dim*(H*mathcal),,ID0070,Quantum Information Units,\mathcal{H}_{\mathrm{qunit}} \cong \mathbb{C}^{d} || \dim \mathcal{H}_{\mathrm{qunit}} = d
Passed,,2,2.0,0,H*mathcal || mathbb*((C*P)**1*(cong*(S**2*(M*hookrightarrow)))),H*mathcal || mathbb*((C*P)**1*(cong*(S**2*(M*hookrightarrow)))),,ID0071,Qubit Manifold Embedding,\mathcal{H}_{\mathrm{qubit}} \cong \mathbb{C}^{2} || \mathbb{CP}^{1} \cong S^{2} \hookrightarrow M
Partial Parse,Some segments need cleanup,2,1.0,1,H*mathcal,H*mathcal,"[q,p] = i\hbar -> LaTeXParsingError: I expected something else here
[q,p] = i\hbar
~~^",ID0072,Continuous-Variable Quantum Systems,"\left[q,p\right] = i\hbar || \mathcal{H}_{\mathrm{CV}} = L^{2}(\mathbb{R})"
Partial Parse,Some segments need cleanup,2,1.0,1,(E*mathcal)/((rho*(mapsto*(mathcal*(E*rho))))),(E*mathcal)/((rho*(mapsto*(mathcal*(E*rho))))),"\mathcal{E}(\rho) = \sum_{k} K_{k}\rho K_{k}^{\dagger} -> LaTeXParsingError: I expected something else here
\mathcal{E}(\rho) = \sum_{k} K_{k}\rho K_{k}^{\dagger}
~~~~~~~~~~~~~~~~~~~~~~~~~~~^",ID0073,Quantum Channels and Maps,\mathcal{E}:\rho \mapsto \mathcal{E}(\rho) || \mathcal{E}(\rho) = \sum_{k} K_{k}\rho K_{k}^{\dagger}
Partial Parse,Some segments need cleanup,2,1.0,1,"Eq(operatorname*((T*r)*(mathcal*(E*rho))), operatorname*(rho*(T*r)))","Eq(operatorname*((T*r)*(mathcal*(E*rho))), operatorname*(rho*(T*r)))","(\mathcal{E}\otimes \mathbb{I}_{n})(X) \geq 0 \forall n, X \geq 0 -> LaTeXParsingError: I expected one of these: ')'
(\mathcal{E}\otimes \mathbb{I}_{n})(X) \geq 0 \forall n, X \geq 0
~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~^",ID0074,Completely Positive Trace-Preserving Maps,"(\mathcal{E}\otimes \mathbb{I}_{n})(X) \geq 0 \qquad \forall n,\; X \geq 0 || \operatorname{Tr}\!\left(\mathcal{E}(\rho)\right) = \operatorname{Tr}(\rho)"
Passed,,2,2.0,0,"Delta*S >= Q/T_{mathrm*(e*(f*f))} + Sigma_{mathrm*(T*(P*Z))} || Eq(Delta*U, Q + W)","Delta*S >= Q/T_{mathrm*(e*(f*f))} + Sigma_{mathrm*(T*(P*Z))} || Eq(Delta*U, Q + W)",,ID0075,Quantum Thermodynamics,\Delta S \geq \frac{Q}{T_{\mathrm{eff}}} + \Sigma_{\mathrm{TZP}} || \Delta U = Q + W
Passed,,2,2.0,0,"Eq(S(omega), 2*(hbar*((operatorname*((I*m)*R(omega)))*coth((hbar*omega)/((2*(T_{mathrm*(e*(f*f))}*k_{B*mathrm}))))))) || Eq(T_{mathrm*(e*(f*f))}, T_{mathrm*(e*(f*f))}**(mathrm*(T*(P*Z))) + T_{mathrm*(e*(f*f))}**(mathrm*(h*t)))","Eq(S(omega), 2*(hbar*((operatorname*((I*m)*R(omega)))*coth((hbar*omega)/((2*(T_{mathrm*(e*(f*f))}*k_{B*mathrm})))))))",,ID0076,Fluctuation–Dissipation Relations,"S(\omega) = 2\hbar\, \coth\!\left( \frac{\hbar\omega}{2k_{\mathrm{B}}T_{\mathrm{eff}}} \right) \operatorname{Im}R(\omega) || T_{\mathrm{eff}} = T_{\mathrm{eff}}^{\mathrm{th}} + T_{\mathrm{eff}}^{\mathrm{TZP}}"
Passed,,2,2.0,0,"Eq(sigma(omega), (operatorname*((I*m)*Pi_{J*J}(omega)))/omega) || Eq(Pi_{J*J}(omega), e**(i*(omega*t))*Integral(1, t))","Eq(sigma(omega), (operatorname*((I*m)*Pi_{J*J}(omega)))/omega)",,ID0077,Quantum Transport Phenomena,\sigma(\omega) = \frac{1}{\omega}\operatorname{Im}\Pi_{JJ}(\omega) || \Pi_{JJ}(\omega) = \int dt\; e^{i\omega t}\langle J(t)J(0)\rangle
Partial Parse,Some segments need cleanup,2,1.0,1,"Eq(eta, eta(d_{mathrm*(e*(f*f))}, mathrm*(T*(P*Z))))","Eq(eta, eta(d_{mathrm*(e*(f*f))}, mathrm*(T*(P*Z))))","\langle O(x)O(0)\rangle \sim \lvert x\rvert^{-2+\eta} -> LaTeXParsingError: I expected one of these: '|' '\right|'
\langle O(x)O(0)\rangle \sim \lvert x\rvert^{-2+\eta}
~~~~~~~~~~~~~~~~^",ID0078,Quantum Criticality,"\langle O(x)O(0)\rangle \sim \lvert x\rvert^{-2+\eta} || \eta = \eta(d_{\mathrm{eff}},\mathrm{TZP})"
Partial Parse,Some segments need cleanup,2,1.0,1,(e**(lambda_{L*mathrm}*t)*sim)*F(t),"Limit((e**(lambda_{L*mathrm}*t)*sim)*F(t), t, oo, dir='-')","F(t) = \langle [W(t),V(0)]^{\dagger} [W(t),V(0)] \rangle -> LaTeXParsingError: I expected one of these: ']'
F(t) = \langle [W(t),V(0)]^{\dagger} [W(t),V(0)] \rangle
~~~~~~~~~~~~~~~~~~~~^",ID0079,Quantum Chaos Indicators,"F(t) = \left\langle \left[W(t),V(0)\right]^{\dagger} \left[W(t),V(0)\right] \right\rangle || F(t) \sim e^{\lambda_{\mathrm{L}} t}"
Partial Parse,Some segments need cleanup,2,1.0,1,"Eq(delta*(S_{T*mathrm}*gamma_{mathrm*(c*l)}), 0)","Eq(delta*(S_{T*mathrm}*gamma_{mathrm*(c*l)}), 0)","K(x_f,t_f;x_i,t_i) \approx \sum_{\gamma_{\mathrm{cl}}} A_{\gamma} \exp\!(\frac{i -> LaTeXParsingError: I don't understand this
K(x_f,t_f;x_i,t_i) \approx \sum_{\gamma_{\mathrm{cl}}} A_{\gamma} \exp\!(\frac{i}{\hbar}S_{\mathrm{T}}[\gamma_{\mathrm{cl}}])
~~~~~~~~~^",ID0080,Semiclassical Limits,"\delta S_{\mathrm{T}}[\gamma_{\mathrm{cl}}] = 0 || K(x_f,t_f;x_i,t_i) \approx \sum_{\gamma_{\mathrm{cl}}} A_{\gamma} \exp\!\left(\frac{i}{\hbar}S_{\mathrm{T}}[\gamma_{\mathrm{cl}}]\right)"
Passed,,2,2.0,0,"Eq(rho_{i*j}(t), rho_{i*j}(0)/e**(Gamma_{i*j}*t)) || Eq(dot*x, Derivative(H_{mathrm*(e*(f*f))}, p))","Eq(dot*x, Derivative(H_{mathrm*(e*(f*f))}, p))",,ID0081,Classical Emergence from Quantum Dynamics,"\rho_{ij}(t)=\rho_{ij}(0)e^{-\Gamma_{ij} t} || \dot{x}=\frac{\partial H_{\mathrm{eff}}}{\partial p}, \qquad \dot{p}=-\frac{\partial H_{\mathrm{eff}}}{\partial x}"
Syntax Error,"\langle O_{\mathrm{macro}} \rangle = \mathcal{C}\!(\langle O_{\mathrm{micro}} \r -> LaTeXParsingError: I expected one of these: '|' '\right|'
\langle O_{\mathrm{macro}} \rangle = \mathcal{C}\!(\langle O_{\mathrm{micro}} \rangle)
~~~~~~~~~~~~~~~~~~~~~~~~~~~^ | \frac{d}{dt}\langle Q_{\mathrm{macro}} \rangle = \mathcal{C}\!(\frac{d}{dt}\lang -> LaTeXParsingError: Expected expression for derivative",2,,2,,,,ID0082,Micro-To-Macro Consistency Conditions,\langle O_{\mathrm{macro}} \rangle = \mathcal{C}\!\left(\langle O_{\mathrm{micro}} \rangle\right) || \frac{d}{dt}\langle Q_{\mathrm{macro}} \rangle = \mathcal{C}\!\left(\frac{d}{dt}\langle Q_{\mathrm{micro}} \rangle\right)
Passed,,2,2.0,0,"Eq(varepsilon_{mathrm*(T*(P*Z))}, ell_{mathrm*(T*(P*Z))}/ell) || O*mathcal","Eq(varepsilon_{mathrm*(T*(P*Z))}, ell_{mathrm*(T*(P*Z))}/ell) || O*mathcal",,ID0083,TZP Constraints at Quantum Scale,"\varepsilon_{\mathrm{TZP}} = \frac{\ell_{\mathrm{TZP}}}{\ell} || \mathcal{O}_{\mathrm{eff}} = \mathcal{O}_{q} + \varepsilon_{\mathrm{TZP}}\,\Delta\mathcal{O}_{\mathrm{TZP}}"
Passed,,2,2.0,0,Delta*(x*(Delta*p)) >= hbar_{mathrm*(e*(f*f))}/2 || Delta*(t*(Delta*E)) >= hbar_{mathrm*(e*(f*f))}/2,Delta*(x*(Delta*p)) >= hbar_{mathrm*(e*(f*f))}/2,,ID0084,Quantum Limits of Observability,"\Delta x\,\Delta p \ge \frac{\hbar_{\mathrm{eff}}}{2} || \Delta t\,\Delta E \ge \frac{\hbar_{\mathrm{eff}}}{2}, \qquad \hbar_{\mathrm{eff}}=\hbar\left(1+\chi_{\mathrm{TZP}}\right)"
Passed,,2,2.0,0,"Eq(tau_{mathrm*(e*m)}, Integral((mathbf*r)*(rho_{e}*(E*mathbf) + (B*mathbf)*(J*mathbf)), V)) || Eq(Derivative(L*mathbf, t), tau_{mathrm*(e*m)})","Eq(tau_{mathrm*(e*m)}, Integral((mathbf*r)*(rho_{e}*(E*mathbf) + (B*mathbf)*(J*mathbf)), V))",,ID0085,Gyromagnetic Genesis Hypothesis,"\tau_{\mathrm{em}} = \int \mathbf{r}\times\left(\mathbf{J}\times\mathbf{B}+\rho_e\mathbf{E}\right)\,dV || \frac{d\mathbf{L}}{dt}=\tau_{\mathrm{em}}"
Passed,,2,2.0,0,"Eq(mathbf*(L*t), L*mathbf) || L*mathbf",L*mathbf,,ID0086,Rejection of Primordial Angular Momentum Assumption,"\mathbf{L}(t)=\mathbf{L}_0 + \int_{0}^{t}\tau_{\mathrm{em}}(t')\,dt' || \mathbf{L}_0 \approx \mathbf{0} \qquad\text{(default null primordial hypothesis)}"
Partial Parse,Some segments need cleanup,2,1.0,1,"Eq(dot*(omega*t), tau_{mathrm*(e*m)}(t)/I_{T*mathrm})",,"\omega(t)=\omega(0)+\frac{1}{I_{\mathrm{T}}}\int_{0}^{t}\tau_{\mathrm{em}}(t') d -> LaTeXParsingError: I expected one of these: <INVALID>
\omega(t)=\omega(0)+\frac{1}{I_{\mathrm{T}}}\int_{0}^{t}\tau_{\mathrm{em}}(t') dt'
~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~^",ID0087,Rotation as a Continuously Generated Quantity,"\dot{\omega}(t)=\frac{\tau_{\mathrm{em}}(t)}{I_{\mathrm{T}}} || \omega(t)=\omega(0)+\frac{1}{I_{\mathrm{T}}}\int_{0}^{t}\tau_{\mathrm{em}}(t')\,dt'"
Passed,,2,2.0,0,"Eq(tau_{mathrm*(e*m)}, Integral((mathbf*r)*(rho_{e}*(E*mathbf) + (B*mathbf)*(J*mathbf)), V)) || Eq(dot*omega, tau_{mathrm*(e*m)}/I_{T*mathrm})","Eq(tau_{mathrm*(e*m)}, Integral((mathbf*r)*(rho_{e}*(E*mathbf) + (B*mathbf)*(J*mathbf)), V)) || Eq(dot*omega, tau_{mathrm*(e*m)}/I_{T*mathrm})",,ID0088,Local Electromagnetic Field–Driven Rotation,"\tau_{\mathrm{em}} = \int \mathbf{r}\times\left(\mathbf{J}\times\mathbf{B}+\rho_e\mathbf{E}\right)\,dV || \dot{\omega}=\frac{\tau_{\mathrm{em}}}{I_{\mathrm{T}}}"
Passed,,2,2.0,0,"F/((mathbf*(L*(a*(b*(G*(y*(o*r)))))))) || Eq(F(g*(circ*f)), ((circ*(eta*F(f)))*F(g))/F)","F/((mathbf*(L*(a*(b*(G*(y*(o*r)))))))) || Eq(F(g*(circ*f)), ((circ*(eta*F(f)))*F(g))/F)",,ID0089,FractalNodes Category-Theoretic Isomorphism Across Scales,F: \mathbf{LabGyro} \longrightarrow \mathbf{AstroRot} || F(g\circ f)=F(g)\circ F(f) \qquad \text{and}\qquad \eta: F \Rightarrow G
Passed,,2,2.0,0,"Eq(Pi_{k}**(mathrm*(l*(a*b))), Pi_{k}**(mathrm*(a*(s*(t*(o*r)))))) || F_{mathrm*(s*(c*(a*(e*l))))}/((S*mathcal))",F_{mathrm*(s*(c*(a*(e*l))))}/((S*mathcal)),,ID0090,Laboratory ↔ Astrophysical Structural Equivalence,\Pi_{k}^{\mathrm{lab}} = \Pi_{k}^{\mathrm{astro}} || F_{\mathrm{scale}} : \mathcal{S}_{\mathrm{lab}} \longrightarrow \mathcal{S}_{\mathrm{astro}}
Passed,,2,2.0,0,P || sigma/M,P || sigma/M,,ID0091,SO(3) × U(1) Configuration Bundle,"P \longrightarrow M, \qquad \mathrm{Struct}(P)=SO(3) \times U(1) || \sigma : M \longrightarrow P"
Partial Parse,Some segments need cleanup,2,1.0,1,"Eq(G, S*((ltimes_{varphi}*U(1))*O(3)))","Eq(G, S*((ltimes_{varphi}*U(1))*O(3)))","(R,e^{i\alpha})\cdot(R',e^{i\beta}) = (RR', e^{i\alpha} \varphi_R(e^{i\beta})) -> LaTeXParsingError: I expected something else here
(R,e^{i\alpha})\cdot(R',e^{i\beta}) = (RR', e^{i\alpha} \varphi_R(e^{i\beta}))
~~^",ID0092,Semi-Direct Product of Rotation and Gauge Symmetry,"G = SO(3) \ltimes_{\varphi} U(1) || (R,e^{i\alpha})\cdot(R',e^{i\beta}) = \left(RR', e^{i\alpha}\,\varphi_R(e^{i\beta})\right)"
Passed,,2,2.0,0,"Eq(omega*phi_{t}**ast, omega) || L*mathcal","Eq(omega*phi_{t}**ast, omega) || L*mathcal",,ID0093,Phase Space Topology Preservation,\phi_t^{\ast}\omega = \omega || \mathcal{L}_{X_H}\omega = 0
Partial Parse,Some segments need cleanup,2,1.0,1,mathrm*(R*m),mathrm*(R*m),"S(L,T,B,\rho) = (\lambda L, \lambda^{p}T, \lambda^{q}B, \lambda^{r}\rho) -> LaTeXParsingError: I expected something else here
S(L,T,B,\rho) = (\lambda L, \lambda^{p}T, \lambda^{q}B, \lambda^{r}\rho)
~~~~~~~~~~~~~~~~~~~~~~~~~~^",ID0094,FractalNodes Scaling Functor Between Laboratory and Astrophysical Systems,"S(L,T,B,\rho) = (\lambda L, \lambda^{p}T, \lambda^{q}B, \lambda^{r}\rho) || \mathrm{Rm}_{\mathrm{lab}} = \mathrm{Rm}_{\mathrm{astro}}, \qquad \mathrm{Ma}_{A,\mathrm{lab}} = \mathrm{Ma}_{A,\mathrm{astro}}"
Passed,,2,2.0,0,"eta/((S*(F*circ))) || Eq(eta_{X}**ast*omega_{F*(circ*S(X))}, omega_{S*(circ*F(X))})","eta/((S*(F*circ))) || Eq(eta_{X}**ast*omega_{F*(circ*S(X))}, omega_{S*(circ*F(X))})",,ID0095,Natural Transformation Preserving Symplectic Structure,\eta : S \circ F \Rightarrow F \circ S || \eta_X^{\ast}\omega_{F\circ S(X)} = \omega_{S\circ F(X)}
Passed,,2,2.0,0,"Eq(partial_{r}(r*v_{r}) + partial_{z}(v_{z}*z), 0) || R*mathcal","Eq(partial_{r}(r*v_{r}) + partial_{z}(v_{z}*z), 0) || R*mathcal",,ID0096,Electrohydrodynamic Resonance Operator,\partial_r(r v_r) + \partial_z(z v_z) = 0 || \mathcal{R}_{\mathrm{EHD}}[\mathbf{v}] = -\frac{\nabla p}{\rho} + \frac{q}{m}(\mathbf{E}+\mathbf{v}\times\mathbf{B})
Passed,,2,2.0,0,"Eq(f_{mathrm*(b*(r*(i*(dg*e))))}, (32/27)*f_{0}) || Eq(Psi_{mathrm*(b*(r*(i*(dg*e))))}(t), (Bigl*(-Bigr*cos(2*(pi*(f_{2}*t)) + theta) + cos(2*(pi*(f_{1}*t)))))*G_{sigma}(t))","Eq(f_{mathrm*(b*(r*(i*(dg*e))))}, (32/27)*f_{0})",,ID0097,Flip–Twist Bridge Transformation,f_{\mathrm{bridge}} = \frac{32}{27} f_0 || \Psi_{\mathrm{bridge}}(t) = G_{\sigma}(t) \Bigl[ \cos(2\pi f_1 t) - \cos(2\pi f_2 t + \theta) \Bigr]
Passed,,2,2.0,0,"Eq(G_{sigma}(t), exp(-t**2/(2*sigma**2))/((sigma*sqrt(2*pi)))) || Eq(delta_{mathrm*(i*(j*n))}, Limit(G_{sigma}(t), sigma, 0, dir='+-'))",,,ID0098,Delta-Function Signal Injection,G_{\sigma}(t) = \frac{1}{\sigma\sqrt{2\pi}} \exp\!\left(-\frac{t^2}{2\sigma^2}\right) || \delta_{\mathrm{inj}} = \lim_{\sigma \to 0} G_{\sigma}(t)
Passed,,3,3.0,0,begin*(a*(dj*(u*(s*(t*(b*(o*x))))))) || begin*(a*(dj*(u*(s*(t*(b*(o*x))))))) || begin*(a*(dj*(u*(s*(t*(b*(o*x))))))),oo*sign(a*b*begin*dj*o*s*u*x) || oo*sign(a*b*begin*dj*o*s*u*x) || oo*sign(a*b*begin*dj*o*s*u*x),,ID0099,Cymatic Beat Frequency Topology,"\begin{adjustbox}{max width=\linewidth} $\displaystyle \psi_{\mathrm{beat}}(t)=2\cos\!\bigl(\pi(f_2-f_1)t\bigr)\sin\!\bigl(\pi(f_1+f_2)t\bigr) $ \end{adjustbox} || \begin{adjustbox}{max width=\linewidth} $\displaystyle \Delta f=|f_2-f_1|,\qquad \bar f=\frac{f_1+f_2}{2} $ \end{adjustbox} || \begin{adjustbox}{max width=\linewidth} $\displaystyle t_n=\frac{n}{2\Delta f}\quad(440/446\,\mathrm{Hz}:\;t_n=\frac{n}{12}) $ \end{adjustbox}"
